"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",3669667,3669959,293,"*","SRR11392448_bam_peak_1",21,".",3.01827,5.5554,2.18024,"Promoter (1-2kb)",1,3214482,3671498,457017,2,"497097","ENSMUST00000070533.4",1539,"ENSMUSG00000051951","Xkr4","X-linked Kx blood group related 4"
"chr1",4571578,4572000,423,"*","SRR11392448_bam_peak_2",24,".",3.03021,5.96778,2.47691,"Distal Intergenic",1,4491390,4497354,5965,2,"20671","ENSMUST00000192650.5",-74224,"ENSMUSG00000025902","Sox17","SRY (sex determining region Y)-box 17"
"chr1",4785393,4785994,602,"*","SRR11392448_bam_peak_3",47,".",2.97775,9.13234,4.77182,"Promoter (<=1kb)",1,4773206,4785710,12505,2,"27395","ENSMUST00000130201.7",0,"ENSMUSG00000033845","Mrpl15","mitochondrial ribosomal protein L15"
"chr1",4807540,4808314,775,"*","SRR11392448_bam_peak_4",21,".",2.62054,5.5627,2.18385,"Promoter (<=1kb)",1,4807788,4848410,40623,1,"18777","ENSMUST00000134384.7",0,"ENSMUSG00000025903","Lypla1","lysophospholipase 1"
"chr1",4857854,4858556,703,"*","SRR11392448_bam_peak_5",20,".",2.38855,5.37042,2.04484,"Promoter (<=1kb)",1,4858038,4897909,39872,1,"21399","ENSMUST00000165720.2",0,"ENSMUSG00000033813","Tcea1","transcription elongation factor A (SII) 1"
"chr1",5018212,5018633,422,"*","SRR11392448_bam_peak_6",14,".",2.5647,4.59558,1.48857,"Promoter (<=1kb)",1,4910402,5018735,108334,2,"58175","ENSMUST00000119256.7",102,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5019188,5019624,437,"*","SRR11392448_bam_peak_7",11,".",2.17652,4.13985,1.16023,"Promoter (<=1kb)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",0,"ENSMUSG00000002459","Rgs20","regulator of G-protein signaling 20"
"chr1",5083186,5083558,373,"*","SRR11392448_bam_peak_8",57,".",3.25499,10.2985,5.71012,"Promoter (<=1kb)",1,5083164,5099777,16614,1,"108664","ENSMUST00000192142.1",22,"ENSMUSG00000033793","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"chr1",5917258,5917466,209,"*","SRR11392448_bam_peak_9",23,".",3.51414,5.82118,2.37176,"Promoter (<=1kb)",1,5913707,5917398,3692,2,"226304","ENSMUST00000044180.4",0,"ENSMUSG00000033774","Npbwr1","neuropeptides B/W receptor 1"
"chr1",6214188,6215628,1441,"*","SRR11392448_bam_peak_10",20,".",2.38769,5.33492,2.02057,"Promoter (<=1kb)",1,6214645,6276648,62004,1,"12421","ENSMUST00000027040.12",0,"ENSMUSG00000025907","Rb1cc1","RB1-inducible coiled-coil 1"
"chr1",6441312,6441517,206,"*","SRR11392448_bam_peak_11",26,".",3.15209,6.2383,2.67284,"Distal Intergenic",1,6487231,6860934,373704,1,"240690","ENSMUST00000140079.7",-45714,"ENSMUSG00000033740","St18","suppression of tumorigenicity 18"
"chr1",9298086,9298728,643,"*","SRR11392448_bam_peak_12",30,".",2.8351,6.79944,3.07677,"Promoter (<=1kb)",1,8361475,9298573,937099,2,"71096","ENSMUST00000132064.7",0,"ENSMUSG00000025909","Sntg1","syntrophin, gamma 1"
"chr1",9300002,9300201,200,"*","SRR11392448_bam_peak_13",21,".",2.69582,5.49961,2.13876,"Promoter (<=1kb)",1,8362678,9299878,937201,2,"71096","ENSMUST00000140302.7",-124,"ENSMUSG00000025909","Sntg1","syntrophin, gamma 1"
"chr1",9545485,9546022,538,"*","SRR11392448_bam_peak_14",22,".",2.62025,5.67381,2.26304,"Promoter (<=1kb)",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",77,"ENSMUSG00000061024","Rrs1","ribosome biogenesis regulator 1"
"chr1",9797940,9798795,856,"*","SRR11392448_bam_peak_15",29,".",2.95339,6.60142,2.93428,"Promoter (<=1kb)",1,9798107,9900843,102737,1,"170755","ENSMUST00000166384.7",0,"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3"
"chr1",9943750,9944103,354,"*","SRR11392448_bam_peak_16",55,".",3.38174,10.0995,5.52921,"Promoter (<=1kb)",1,9942025,9944103,2079,2,"73824","ENSMUST00000182498.7",0,"ENSMUSG00000098234","Snhg6","small nucleolar RNA host gene 6"
"chr1",10037595,10038461,867,"*","SRR11392448_bam_peak_17",18,".",2.35781,5.0304,1.80053,"Promoter (<=1kb)",1,10038006,10047534,9529,1,"211660","ENSMUST00000191012.6",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1"
"chr1",10039798,10040104,307,"*","SRR11392448_bam_peak_18",40,".",3.20406,8.18625,4.08053,"Promoter (<=1kb)",1,10039823,10059991,20169,1,"211660","ENSMUST00000134716.1",0,"ENSMUSG00000056763","Cspp1","centrosome and spindle pole associated protein 1"
"chr1",10232191,10233365,1175,"*","SRR11392448_bam_peak_19",16,".",2.24437,4.79733,1.6334,"Promoter (<=1kb)",1,10137571,10232670,95100,2,"211673","ENSMUST00000088615.10",0,"ENSMUSG00000067851","Arfgef1","ARF guanine nucleotide exchange factor 1"
"chr1",10993591,10994043,453,"*","SRR11392448_bam_peak_20",21,".",2.5622,5.52431,2.15618,"Promoter (<=1kb)",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",126,"ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
"chr1",12991828,12992367,540,"*","SRR11392448_bam_peak_21",16,".",2.47487,4.76199,1.60737,"Promoter (<=1kb)",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",283,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
